XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference,yield_value,incubation_hours,experiment_id,publication_year,reference_id
1,wheat bran,Aspergillus candidus,xylanase,770,U/gds,115,"Dried, ground (710µm), autoclaved with 15% ammmonia solution (1h ; 121°C).","g/gds : 0,04 NH4NO3 ; 0,01 YE ; 0,01 peptone ; 0,001 KH2PO4 ; 0,001 MgSO4.",RSM (Box-Behnken design),"pH=6 ; MC=3ml/gds ; inoculum (5ml ; 5E4 spores/ml) ; T°=24,5±0,5°C.",,2012,1,770.0,115.0,1,2012,1
13,mixture (wheat straw ; wheat bran),Co-culture (Trichoderma sp. T-1 ; Phanerochaete chrysosporium ; Aspergillus oryzae A-4),xylanase,51.55,U/gds,96,"Dried, ground (375-750µm). Wheat straw: alkaline peroxide pretreated (soaked in 2,5% w/v H2O2 + 10M NaOH solution ; 24h ; pH=11,5 ; 180rpm ; 37°C).","for 4gs, 4mL of modified Mandel's medium (g/L): 2 NaNO3 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4.7H2O ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.H2O ; 0,0005 CoCl2.",Microorganisms: Taguchi design ; parameters: NA.,pH=6 ; RH=50-80% ; T°=28°C.,"Substrate proportions: 3WS:1WB. Fungi proportions: 92% Trichoderma ; 6,7% P. chrysosporium ; 1,3% A. oryzae. Experiment realised in ø9cm petri dishes. This study aimed to create an optimal fungi pool for cellulolytic enzyme system production. 6 strains were tested in various proportions.",2011,5,51.55,96.0,13,2011,5
18,wheat bran,Aspergillus niger CCUG33991,xylanase,1137,U/gds,72,Autoclaved (20mn ; 120°C).,"for 5gs, 5ml of distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4.",None,Initial pH not adjusted ; MC=60% (w/w) ; Inoculum (1E7 spores/gds) ; T°=29±2°C.,,2018,7,1137.0,72.0,18,2018,7
19,corn cob,Aspergillus niger CCUG33991,xylanase,380,U/gds,72,Autoclaved (20mn ; 120°C).,"for 5gs, 5ml of distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4.",None,Initial pH not adjusted ; MC=60% (w/w) ; Inoculum (1E7 spores/gds) ; T°=29±2°C.,,2018,7,380.0,72.0,19,2018,7
20,sorghum stover,Aspergillus niger CCUG33991,xylanase,257,U/gds,72,Autoclaved (20mn ; 120°C).,"for 5gs, 5ml of distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4.",None,Initial pH not adjusted ; MC=60% (w/w) ; Inoculum (1E7 spores/gds) ; T°=29±2°C.,,2018,7,257.0,72.0,20,2018,7
21,wheat bran,Aspergillus niger CCUG33991,xylanase,1491,U/gds,48,"Sieved (0,3-0,6mm) ; autoclaved (20mn ; 120°C).",Distilled water containing 1% (v/v) glycerol + 1% (w/v) (NH4)2SO4. Quantity was adjusted to reach MC=70% (w/w).,OFAT,"pH≈6,7 ; MC=70% (w/w) ; Inoculum (1E7 spores/gds) ; T°=28-35°C. Bioreactor (40*40*80cm) with 3 trays (25*50*2cm).","The experiment was realized in a pilot-scale tray reactor. It showed a 2,5-fold higher xylanase activity than in Erlenmeyer flasks, in a shorter time. Enzymes present high temperature stability and long-term preservation.",2018,7,1491.0,48.0,21,2018,7
29,mixture (wheat bran ; sugarcane bagasse),Acremonium sp. CSF 17,xylanase,144.87,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,144.87,168.0,29,2018,10
30,mixture (wheat bran ; sugarcane bagasse),Myrothecium gramineum CSF 23,xylanase,145.48,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,145.48,168.0,30,2018,10
31,mixture (wheat bran ; sugarcane bagasse),Colletotrichum crassipes CSY 02,xylanase,8.33,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,8.33,168.0,31,2018,10
32,mixture (wheat bran ; sugarcane bagasse),Coniothyrium minitans CV 03,xylanase,407.24,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,407.24,168.0,32,2018,10
33,mixture (wheat bran ; sugarcane bagasse),Ustilaginoidea sp. CV 04,xylanase,367.43,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,367.43,168.0,33,2018,10
34,mixture (wheat bran ; sugarcane bagasse),Trichoderma viridae PAJ 01,xylanase,351.74,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,351.74,168.0,34,2018,10
35,mixture (wheat bran ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,xylanase,569.48,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,569.48,168.0,35,2018,10
36,mixture (wheat bran ; sugarcane bagasse),Phomopsis stipata SC 04,xylanase,694.33,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,694.33,168.0,36,2018,10
37,mixture (wheat bran ; sugarcane bagasse),Paecilomyces sp. SF 021,xylanase,7.06,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,7.06,168.0,37,2018,10
38,mixture (wheat bran ; sugarcane bagasse),Chaetomium sp. TCF 01,xylanase,39.75,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,39.75,168.0,38,2018,10
39,mixture (wheat bran ; sugarcane bagasse),Coniella petrakii PM 02,xylanase,21.54,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,21.54,168.0,39,2018,10
40,mixture (wheat bran ; sugarcane bagasse),Botryosphaeria sp. AM 01,xylanase,424.73,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,424.73,168.0,40,2018,10
41,mixture (wheat bran ; cottonseed meal),Saccharicola p. EJC04,xylanase,103.8,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,103.8,168.0,41,2018,10
42,mixture (oat ; sugarcane bagasse),Ustilaginoidea sp. XYA 04,xylanase,299.28,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,299.28,168.0,42,2018,10
43,mixture (wheat bran ; cottonseed meal),Botryosphaeria sp. AM 01,xylanase,442.58,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,442.58,168.0,43,2018,10
44,mixture (oat ; sugarcane bagasse),Botryosphaeria sp. AM 01,xylanase,51.62,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,51.62,168.0,44,2018,10
45,mixture (wheat bran ; cottonseed meal),Paecilomyces sp. SF 021,xylanase,8.93,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,8.93,168.0,45,2018,10
46,mixture (oat ; sugarcane bagasse),Paecilomyces sp. SF 021,xylanase,9.66,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,9.66,168.0,46,2018,10
47,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,xylanase,19.25,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,19.25,168.0,47,2018,10
48,mixture (oat ; sugarcane bagasse),Saccharicola sp. EJC 04,xylanase,8.57,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,8.57,168.0,48,2018,10
49,mixture (wheat bran ; cottonseed meal),Phomopsis stipata SC 04,xylanase,21.42,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,21.42,168.0,49,2018,10
50,mixture (oat ; sugarcane bagasse),Phomopsis stipata SC 04,xylanase,83.59,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,83.59,168.0,50,2018,10
51,mixture (wheat bran ; cottonseed meal),Ustilaginoidea sp. CV 04,xylanase,15.87,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,15.87,168.0,51,2018,10
52,mixture (oat ; sugarcane bagasse),Ustilaginoidea sp. CV 04,xylanase,153.92,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,153.92,168.0,52,2018,10
53,mixture (wheat bran ; cottonseed meal),Cladosporium cladosporioides PAJ 03,xylanase,26.97,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,26.97,168.0,53,2018,10
54,mixture (oat ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,xylanase,48.31,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,48.31,168.0,54,2018,10
