Ref n°,Reference
1,"Garai, D.; Kumar, V. A Box–Behnken Design Approach for the Production of Xylanase by Aspergillus Candidus under Solid State Fermentation and Its Application in Saccharification of Agro Residues and Parthenium Hysterophorus L. Industrial Crops and Products 2013, 44, 352–363. https://doi.org/10.1016/j.indcrop.2012.10.027."
2,"Ravikumar, G.; Gomathi, D.; Kalaiselvi, M.; Uma, C. A Protease from the Medicinal Mushroom Pleurotus Sajor-Caju; Production, Purification and Partial Characterization. Asian Pacific Journal of Tropical Biomedicine 2012, 2 (1, Supplement), S411–S417. https://doi.org/10.1016/S2221-1691(12)60198-1."
3,"Pensupa, N.; Jin, M.; Kokolski, M.; Archer, D. B.; Du, C. A Solid State Fungal Fermentation-Based Strategy for the Hydrolysis of Wheat Straw. Bioresource Technology 2013, 149, 261–267. https://doi.org/10.1016/j.biortech.2013.09.061."
4,"de Castro, R. J. S.; Ohara, A.; Nishide, T. G.; Bagagli, M. P.; Gonçalves Dias, F. F.; Sato, H. H. A Versatile System Based on Substrate Formulation Using Agroindustrial Wastes for Protease Production by Aspergillus Niger under Solid State Fermentation. Biocatalysis and Agricultural Biotechnology 2015, 4 (4), 678–684. https://doi.org/10.1016/j.bcab.2015.08.010."
5,"Lin, H.; Wang, B.; Zhuang, R.; Zhou, Q.; Zhao, Y. Artificial Construction and Characterization of a Fungal Consortium That Produces Cellulolytic Enzyme System with Strong Wheat Straw Saccharification. Bioresource Technology 2011, 102 (22), 10569–10576. https://doi.org/10.1016/j.biortech.2011.08.095."
6,"Ruqayyah, T. I. D.; Jamal, P.; Alam, Md. Z.; Mirghani, Md. E. S. Biodegradation Potential and Ligninolytic Enzyme Activity of Two Locally Isolated Panus Tigrinus Strains on Selected Agro-Industrial Wastes. Journal of Environmental Management 2013, 118, 115–121. https://doi.org/10.1016/j.jenvman.2013.01.003."
7,"Khanahmadi, M.; Arezi, I.; Amiri, M.; Miranzadeh, M. Bioprocessing of Agro-Industrial Residues for Optimization of Xylanase Production by Solid- State Fermentation in Flask and Tray Bioreactor. Biocatalysis and Agricultural Biotechnology 2018, 13, 272–282. https://doi.org/10.1016/j.bcab.2018.01.005."
8,"Raghuwanshi, S.; Deswal, D.; Karp, M.; Kuhad, R. C. Bioprocessing of Enhanced Cellulase Production from a Mutant of Trichoderma Asperellum RCK2011 and Its Application in Hydrolysis of Cellulose. Fuel 2014, 124, 183–189. https://doi.org/10.1016/j.fuel.2014.01.107."
9,"Idris, A. S. O.; Pandey, A.; Rao, S. S.; Sukumaran, R. K. Cellulase Production through Solid-State Tray Fermentation, and Its Use for Bioethanol from Sorghum Stover. Bioresource Technology 2017, 242, 265–271. https://doi.org/10.1016/j.biortech.2017.03.092."
10,"Marques, N. P.; de Cassia Pereira, J.; Gomes, E.; da Silva, R.; Araújo, A. R.; Ferreira, H.; Rodrigues, A.; Dussán, K. J.; Bocchini, D. A. Cellulases and Xylanases Production by Endophytic Fungi by Solid State Fermentation Using Lignocellulosic Substrates and Enzymatic Saccharification of Pretreated Sugarcane Bagasse. Industrial Crops and Products 2018, 122, 66–75. https://doi.org/10.1016/j.indcrop.2018.05.022."
11,"Yoshizaki, Y.; Susuki, T.; Takamine, K.; Tamaki, H.; Ito, K.; Sameshima, Y. Characterization of Glucoamylase and α-Amylase from Monascus Anka: Enhanced Production of α-Amylase in Red Koji. Journal of Bioscience and Bioengineering 2010, 110 (6), 670–674. https://doi.org/10.1016/j.jbiosc.2010.07.005."
12,"Dwivedi, P.; Vivekanand, V.; Pareek, N.; Sharma, A.; Singh, R. P. Co-Cultivation of Mutant Penicillium Oxalicum SAUE-3.510 and Pleurotus Ostreatus for Simultaneous Biosynthesis of Xylanase and Laccase under Solid-State Fermentation. New Biotechnology 2011, 28 (6), 616–626. https://doi.org/10.1016/j.nbt.2011.05.006."
13,"Kolasa, M.; Ahring, B. K.; Lübeck, P. S.; Lübeck, M. Co-Cultivation of Trichoderma Reesei RutC30 with Three Black Aspergillus Strains Facilitates Efficient Hydrolysis of Pretreated Wheat Straw and Shows Promises for on-Site Enzyme Production. Bioresource Technology 2014, 169, 143–148. https://doi.org/10.1016/j.biortech.2014.06.082."
14,"Tiwari, R.; Nain, P. K. S.; Singh, S.; Adak, A.; Saritha, M.; Rana, S.; Sharma, A.; Nain, L. Cold Active Holocellulase Cocktail from Aspergillus Niger SH3: Process Optimization for Production and Biomass Hydrolysis. Journal of the Taiwan Institute of Chemical Engineers 2015, 56, 57–66. https://doi.org/10.1016/j.jtice.2015.04.026."
15,"Hemansi; Gupta, R.; Kuhad, R. C.; Saini, J. K. Cost Effective Production of Complete Cellulase System by Newly Isolated Aspergillus Niger RCKH-3 for Efficient Enzymatic Saccharification: Medium Engineering by Overall Evaluation Criteria Approach (OEC). Biochemical Engineering Journal 2018, 132, 182–190. https://doi.org/10.1016/j.bej.2018.01.019."
16,"Ćilerdžić, J.; Stajić, M.; Vukojević, J. Degradation of Wheat Straw and Oak Sawdust by Ganoderma Applanatum. International Biodeterioration & Biodegradation 2016, 114, 39–44. https://doi.org/10.1016/j.ibiod.2016.05.024."
17,"Hui, L.; Wan, C.; Hai-tao, D.; Xue-jiao, C.; Qi-fa, Z.; Yu-hua, Z. Direct Microbial Conversion of Wheat Straw into Lipid by a Cellulolytic Fungus of Aspergillus Oryzae A-4 in Solid-State Fermentation. Bioresource Technology 2010, 101 (19), 7556–7562. https://doi.org/10.1016/j.biortech.2010.04.027."
18,"Kaushik, P.; Mishra, A.; Malik, A. Dual Application of Agricultural Residues for Xylanase Production and Dye Removal through Solid State Fermentation. International Biodeterioration & Biodegradation 2014, 96, 1–8. https://doi.org/10.1016/j.ibiod.2014.08.006."
19,"Xie, L.; Zhao, J.; Wu, J.; Gao, M.; Zhao, Z.; Lei, X.; Zhao, Y.; Yang, W.; Gao, X.; Ma, C.; et al. Efficient Hydrolysis of Corncob Residue through Cellulolytic Enzymes from Trichoderma Strain G26 and L-Lactic Acid Preparation with the Hydrolysate. Bioresource Technology 2015, 193, 331–336. https://doi.org/10.1016/j.biortech.2015.06.101."
20,"Hu, T.; Zhou, Y.; Dai, L.; Wang, Y.; Liu, D.; Zhang, J.; Liu, H. Enhanced Cellulase Production by Solid State Fermentation with Polyurethane Foam as Inert Supports. Procedia Engineering 2011, 18, 335–340. https://doi.org/10.1016/j.proeng.2011.11.053."
21,"Dave, B. R.; Sudhir, A. P.; Parmar, P.; Pathak, S.; Raykundaliya, D. P.; Subramanian, R. B. Enhancement of Cellulase Activity by a New Strain of Thermoascus Aurantiacus: Optimisation by Statistical Design Response Surface Methodology. Biocatalysis and Agricultural Biotechnology 2013, 2 (2), 108–115. https://doi.org/10.1016/j.bcab.2013.02.003."
22,"Pirota, R. D. P. B.; Tonelotto, M.; Delabona, P. da S.; Fonseca, R. F.; Paixão, D. A. A.; Baleeiro, F. C. F.; Bertucci Neto, V.; Farinas, C. S. Enhancing Xylanases Production by a New Amazon Forest Strain of Aspergillus Oryzae Using Solid-State Fermentation under Controlled Operation Conditions. Industrial Crops and Products 2013, 45, 465–471. https://doi.org/10.1016/j.indcrop.2013.01.010."
23,"Chen, H.-Q.; Chen, X.-M.; Chen, T.-X.; Xu, X.-M.; Jin, Z.-Y. Extraction Optimization of Inulinase Obtained by Solid State Fermentation of Aspergillus Ficuum JNSP5-06. Carbohydrate Polymers 2011, 85 (2), 446–451. https://doi.org/10.1016/j.carbpol.2011.03.010."
24,"Pérez-Rodríguez, N.; Moreira, C. D.; Torrado Agrasar, A.; Domínguez, J. M. Feruloyl Esterase Production by Aspergillus Terreus CECT 2808 and Subsequent Application to Enzymatic Hydrolysis. Enzyme and Microbial Technology 2016, 91, 52–58. https://doi.org/10.1016/j.enzmictec.2016.05.011."
25,"Ding, C.; Li, M.; Hu, Y. High-Activity Production of Xylanase by Pichia Stipitis: Purification, Characterization, Kinetic Evaluation and Xylooligosaccharides Production. International Journal of Biological Macromolecules 2018, 117, 72–77. https://doi.org/10.1016/j.ijbiomac.2018.05.128."
26,"Thomas, L.; Parameswaran, B.; Pandey, A. Hydrolysis of Pretreated Rice Straw by an Enzyme Cocktail Comprising Acidic Xylanase from Aspergillus Sp. for Bioethanol Production. Renewable Energy 2016, 98, 9–15. https://doi.org/10.1016/j.renene.2016.05.011."
27,"Ma, F.; Wang, J.; Zeng, Y.; Yu, H.; Yang, Y.; Zhang, X. Influence of the Co-Fungal Treatment with Two White Rot Fungi on the Lignocellulosic Degradation and Thermogravimetry of Corn Stover. Process Biochemistry 2011, 46 (9), 1767–1773. https://doi.org/10.1016/j.procbio.2011.05.020."
28,"Adhyaru, D. N.; Bhatt, N. S.; Modi, H. A.; Divecha, J. Insight on Xylanase from Aspergillus Tubingensis FDHN1: Production, High Yielding Recovery Optimization through Statistical Approach and Application. Biocatalysis and Agricultural Biotechnology 2016, 6, 51–57. https://doi.org/10.1016/j.bcab.2016.01.014."
29,"Díaz-Malváez, F. I.; García-Almendárez, B. E.; Hernández-Arana, A.; Amaro-Reyes, A.; Regalado-González, C. Isolation and Properties of β-Xylosidase from Aspergillus Niger GS1 Using Corn Pericarp upon Solid State Fermentation. Process Biochemistry 2013, 48 (7), 1018–1024. https://doi.org/10.1016/j.procbio.2013.05.003."
30,"Asgher, M.; Wahab, A.; Bilal, M.; Nasir Iqbal, H. M. Lignocellulose Degradation and Production of Lignin Modifying Enzymes by Schizophyllum Commune IBL-06 in Solid-State Fermentation. Biocatalysis and Agricultural Biotechnology 2016, 6, 195–201. https://doi.org/10.1016/j.bcab.2016.04.003."
31,"Wyman, V.; Henríquez, J.; Palma, C.; Carvajal, A. Lignocellulosic Waste Valorisation Strategy through Enzyme and Biogas Production. Bioresource Technology 2018, 247, 402–411. https://doi.org/10.1016/j.biortech.2017.09.055."
32,"Patel, H.; Divecha, J.; Shah, A. Microwave Assisted Alkali Treated Wheat Straw as a Substrate for Co-Production of (Hemi)Cellulolytic Enzymes and Development of Balanced Enzyme Cocktail for Its Enhanced Saccharification. Journal of the Taiwan Institute of Chemical Engineers 2017, 71, 298–306. https://doi.org/10.1016/j.jtice.2016.12.032."
33,"Farinas, C. S.; Vitcosque, G. L.; Fonseca, R. F.; Neto, V. B.; Couri, S. Modeling the Effects of Solid State Fermentation Operating Conditions on Endoglucanase Production Using an Instrumented Bioreactor. Industrial Crops and Products 2011, 34 (1), 1186–1192. https://doi.org/10.1016/j.indcrop.2011.04.006."
34,"Novelli, P. K.; Barros, M. M.; Fleuri, L. F. Novel Inexpensive Fungi Proteases: Production by Solid State Fermentation and Characterization. Food Chemistry 2016, 198, 119–124. https://doi.org/10.1016/j.foodchem.2015.11.089."
35,"Irfan, M.; Nadeem, M.; Syed, Q. One-Factor-at-a-Time (OFAT) Optimization of Xylanase Production from Trichoderma Viride-IR05 in Solid-State Fermentation. Journal of Radiation Research and Applied Sciences 2014, 7 (3), 317–326. https://doi.org/10.1016/j.jrras.2014.04.004."
36,"Deswal, D.; Khasa, Y. P.; Kuhad, R. C. Optimization of Cellulase Production by a Brown Rot Fungus Fomitopsis Sp. RCK2010 under Solid State Fermentation. Bioresource Technology 2011, 102 (10), 6065–6072. https://doi.org/10.1016/j.biortech.2011.03.032."
37,"Pandey, A. K.; Edgard, G.; Negi, S. Optimization of Concomitant Production of Cellulase and Xylanase from Rhizopus Oryzae SN5 through EVOP-Factorial Design Technique and Application in Sorghum Stover Based Bioethanol Production. Renewable Energy 2016, 98, 51–56. https://doi.org/10.1016/j.renene.2016.05.071."
38,"Trivedi, S.; Divecha, J.; Shah, A. Optimization of Inulinase Production by a Newly Isolated Aspergillus Tubingensis CR16 Using Low Cost Substrates. Carbohydrate Polymers 2012, 90 (1), 483–490. https://doi.org/10.1016/j.carbpol.2012.05.068."
39,"Chen, H.-Q.; Chen, X.-M.; Chen, T.-X.; Xu, X.-M.; Jin, Z.-Y. Optimization of Solid-State Medium for the Production of Inulinase by Aspergillus Ficuum JNSP5-06 Using Response Surface Methodology. Carbohydrate Polymers 2011, 86 (1), 249–254. https://doi.org/10.1016/j.carbpol.2011.04.044."
40,"Taherzadeh-Ghahfarokhi, M.; Panahi, R.; Mokhtarani, B. Optimizing the Combination of Conventional Carbonaceous Additives of Culture Media to Produce Lignocellulose-Degrading Enzymes by Trichoderma Reesei in Solid State Fermentation of Agricultural Residues. Renewable Energy 2019, 131, 946–955. https://doi.org/10.1016/j.renene.2018.07.130."
41,"Heerd, D.; Yegin, S.; Tari, C.; Fernandez-Lahore, M. Pectinase Enzyme-Complex Production by Aspergillus Spp. in Solid-State Fermentation: A Comparative Study. Food and Bioproducts Processing 2012, 90 (2), 102–110. https://doi.org/10.1016/j.fbp.2011.08.003."
42,"Buenrostro-Figueroa, J.; Ascacio-Valdés, A.; Sepúlveda, L.; De la Cruz, R.; Prado-Barragán, A.; Aguilar-González, M. A.; Rodríguez, R.; Aguilar, C. N. Potential Use of Different Agroindustrial By-Products as Supports for Fungal Ellagitannase Production under Solid-State Fermentation. Food and Bioproducts Processing 2014, 92 (4), 376–382. https://doi.org/10.1016/j.fbp.2013.08.010."
43,"Sawangwan, T.; Saman, P. Prebiotic Synthesis from Rice Using Aspergillus Oryzae with Solid State Fermentation. Agriculture and Natural Resources 2016, 50 (4), 227–231. https://doi.org/10.1016/j.anres.2016.02.004."
44,"Pal, A.; Khanum, F. Production and Extraction Optimization of Xylanase from Aspergillus Niger DFR-5 through Solid-State-Fermentation. Bioresource Technology 2010, 101 (19), 7563–7569. https://doi.org/10.1016/j.biortech.2010.04.033."
45,"Mohan Kumar, N. S.; Ramasamy, R.; Manonmani, H. K. Production and Optimization of L-Asparaginase from Cladosporium Sp. Using Agricultural Residues in Solid State Fermentation. Industrial Crops and Products 2013, 43, 150–158. https://doi.org/10.1016/j.indcrop.2012.07.023."
46,"Ma, K.; Ruan, Z. Production of a Lignocellulolytic Enzyme System for Simultaneous Bio-Delignification and Saccharification of Corn Stover Employing Co-Culture of Fungi. Bioresource Technology 2015, 175, 586–593. https://doi.org/10.1016/j.biortech.2014.10.161."
47,"Bala, A.; Sapna; Jain, J.; Kumari, A.; Singh, B. Production of an Extracellular Phytase from a Thermophilic Mould Humicola Nigrescens in Solid State Fermentation and Its Application in Dephytinization. Biocatalysis and Agricultural Biotechnology 2014, 3 (4), 259–264. https://doi.org/10.1016/j.bcab.2014.07.002."
48,"Aita, B. C.; Spannemberg, S. S.; Schmaltz, S.; Zabot, G. L.; Tres, M. V.; Kuhn, R. C.; Mazutti, M. A. Production of Cell-Wall Degrading Enzymes by Solid-State Fermentation Using Agroindustrial Residues as Substrates. Journal of Environmental Chemical Engineering 2019, 7 (3), 103193. https://doi.org/10.1016/j.jece.2019.103193."
49,"Narra, M.; Dixit, G.; Divecha, J.; Madamwar, D.; Shah, A. R. Production of Cellulases by Solid State Fermentation with Aspergillus Terreus and Enzymatic Hydrolysis of Mild Alkali-Treated Rice Straw. Bioresource Technology 2012, 121, 355–361. https://doi.org/10.1016/j.biortech.2012.05.140."
50,"Bansal, N.; Tewari, R.; Soni, R.; Soni, S. K. Production of Cellulases from Aspergillus Niger NS-2 in Solid State Fermentation on Agricultural and Kitchen Waste Residues. Waste Management 2012, 32 (7), 1341–1346. https://doi.org/10.1016/j.wasman.2012.03.006."
51,"Luana Oliveira Pitol; Alessandra Biz; Edgar Mallmann; Nadia Krieger; David Alexander Mitchell. Production of Pectinases by Solid-State Fermentation in a Pilot-Scale Packed-Bed Bioreactor. Chem. Eng. J. 2016, 283, 1009–1018. https://doi.org/10.1016/j.cej.2015.08.046."
52,"Kogo, T.; Yoshida, Y.; Koganei, K.; Matsumoto, H.; Watanabe, T.; Ogihara, J.; Kasumi, T. Production of Rice Straw Hydrolysis Enzymes by the Fungi Trichoderma Reesei and Humicola Insolens Using Rice Straw as a Carbon Source. Bioresource Technology 2017, 233, 67–73. https://doi.org/10.1016/j.biortech.2017.01.075."
53,"Aliyah, A.; Alamsyah, G.; Ramadhani, R.; Hermansyah, H. Production of α-Amylase and β-Glucosidase from Aspergillus Niger by Solid State Fermentation Method on Biomass Waste Substrates from Rice Husk, Bagasse and Corn Cob. Energy Procedia 2017, 136, 418–423. https://doi.org/10.1016/j.egypro.2017.10.269."
54,"Garcia, N. F. L.; da Silva Santos, F. R.; Gonçalves, F. A.; da Paz, M. F.; Fonseca, G. G.; Leite, R. S. R. Production of β-Glucosidase on Solid-State Fermentation by Lichtheimia Ramosa in Agroindustrial Residues: Characterization and Catalytic Properties of the Enzymatic Extract. Electronic Journal of Biotechnology 2015, 18 (4), 314–319. https://doi.org/10.1016/j.ejbt.2015.05.007."
55,"Das, A.; Bhattacharya, S.; Panchanan, G.; Navya, B. S.; Nambiar, P. Production, Characterization and Congo Red Dye Decolourizing Efficiency of a Laccase from Pleurotus Ostreatus MTCC 142 Cultivated on Co-Substrates of Paddy Straw and Corn Husk. Journal of Genetic Engineering and Biotechnology 2016, 14 (2), 281–288. https://doi.org/10.1016/j.jgeb.2016.09.007."
56,"Gautam, A.; Kumar, A.; Bharti, A. K.; Dutt, D. Rice Straw Fermentation by Schizophyllum Commune ARC-11 to Produce High Level of Xylanase for Its Application in Pre-Bleaching. Journal of Genetic Engineering and Biotechnology 2018, 16 (2), 693–701. https://doi.org/10.1016/j.jgeb.2018.02.006."
57,"Prado, D. Z. do; Okino-Delgado, C. H.; Zanutto-Elgui, M. R.; Silva, R. B. G. da; Pereira, M. S.; Jahn, L.; Ludwig-Müller, J.; Silva, M. R. da; Velini, E. D.; Fleuri, L. F. Screening of Aspergillus, Bacillus and Trichoderma Strains and Influence of Substrates on Auxin and Phytases Production through Solid-State Fermentation. Biocatalysis and Agricultural Biotechnology 2019, 19, 101165. https://doi.org/10.1016/j.bcab.2019.101165."
58,"Ganaie, M. A.; Soni, H.; Naikoo, G. A.; Santos Oliveira, L. T.; Rawat, H. K.; Mehta, P. K.; Narain, N. Screening of Low Cost Agricultural Wastes to Maximize the Fructosyltransferase Production and Its Applicability in Generation of Fructooligosaccharides by Solid State Fermentation. International Biodeterioration & Biodegradation 2017, 118, 19–26. https://doi.org/10.1016/j.ibiod.2017.01.006."
59,"Yegin, S. Single-Step Purification and Characterization of an Extreme Halophilic, Ethanol Tolerant and Acidophilic Xylanase from Aureobasidium Pullulans NRRL Y-2311-1 with Application Potential in the Food Industry. Food Chemistry 2017, 221, 67–75. https://doi.org/10.1016/j.foodchem.2016.10.003."
60,"Xu, X.; Lin, M.; Zang, Q.; Shi, S. Solid State Bioconversion of Lignocellulosic Residues by Inonotus Obliquus for Production of Cellulolytic Enzymes and Saccharification. Bioresource Technology 2018, 247, 88–95. https://doi.org/10.1016/j.biortech.2017.08.192."
61,"Meghavarnam, A. K.; Janakiraman, S. Solid State Fermentation: An Effective Fermentation Strategy for the Production of L-Asparaginase by Fusarium Culmorum (ASP-87). Biocatalysis and Agricultural Biotechnology 2017, 11, 124–130. https://doi.org/10.1016/j.bcab.2017.06.001."
62,"Melikoglu, M.; Lin, C. S. K.; Webb, C. Stepwise Optimisation of Enzyme Production in Solid State Fermentation of Waste Bread Pieces. Food and Bioproducts Processing 2013, 91 (4), 638–646. https://doi.org/10.1016/j.fbp.2013.04.008."
63,"de Oliveira Rodrigues, P.; de Cássia Pereira, J.; Santos, D. Q.; Gurgel, L. V. A.; Pasquini, D.; Baffi, M. A. Synergistic Action of an Aspergillus (Hemi-)Cellulolytic Consortium on Sugarcane Bagasse Saccharification. Industrial Crops and Products 2017, 109, 173–181. https://doi.org/10.1016/j.indcrop.2017.08.031."
64,"Zhao, X.; Yi, S.; Li, H. The Optimized Co-Cultivation System of Penicillium Oxalicum 16 and Trichoderma Reesei RUT-C30 Achieved a High Yield of Hydrolase Applied in Second-Generation Bioethanol Production. Renewable Energy 2019, 136, 1028–1035. https://doi.org/10.1016/j.renene.2019.01.066."
65,"Liu, D.; Zhang, R.; Yang, X.; Wu, H.; Xu, D.; Tang, Z.; Shen, Q. Thermostable Cellulase Production of Aspergillus Fumigatus Z5 under Solid-State Fermentation and Its Application in Degradation of Agricultural Wastes. International Biodeterioration & Biodegradation 2011, 65 (5), 717–725. https://doi.org/10.1016/j.ibiod.2011.04.005."
66,"da Cunha, M. C.; Silva, L. C.; Sato, H. H.; de Castro, R. J. S. Using Response Surface Methodology to Improve the L-Asparaginase Production by Aspergillus Niger under Solid-State Fermentation. Biocatalysis and Agricultural Biotechnology 2018, 16, 31–36. https://doi.org/10.1016/j.bcab.2018.07.018."
67,"Chapla, D.; Divecha, J.; Madamwar, D.; Shah, A. Utilization of Agro-Industrial Waste for Xylanase Production by Aspergillus Foetidus MTCC 4898 under Solid State Fermentation and Its Application in Saccharification. Biochemical Engineering Journal 2010, 49 (3), 361–369. https://doi.org/10.1016/j.bej.2010.01.012."
68,"Koser, S.; Anwar, Z.; Iqbal, Z.; Anjum, A.; Aqil, T.; Mehmood, S.; Irshad, M. Utilization of Aspergillus Oryzae to Produce Pectin Lyase from Various Agro-Industrial Residues. Journal of Radiation Research and Applied Sciences 2014, 7 (3), 327–332. https://doi.org/10.1016/j.jrras.2014.05.001."
69,"Dhillon, G. S.; Oberoi, H. S.; Kaur, S.; Bansal, S.; Brar, S. K. Value-Addition of Agricultural Wastes for Augmented Cellulase and Xylanase Production through Solid-State Tray Fermentation Employing Mixed-Culture of Fungi. Industrial Crops and Products 2011, 34 (1), 1160–1167. https://doi.org/10.1016/j.indcrop.2011.04.001."
